timestamp_unix,timestamp_iso,phase,step_label,elapsed_in_phase_s,event,total_W,soc_C,cpu_clock_MHz,throttled_flags,0V8_AON_V,0V8_AON_A,0V8_AON_W,0V8_SW_V,0V8_SW_A,0V8_SW_W,1V1_SYS_V,1V1_SYS_A,1V1_SYS_W,1V8_SYS_V,1V8_SYS_A,1V8_SYS_W,3V3_ADC_V,3V3_ADC_A,3V3_ADC_W,3V3_DAC_V,3V3_DAC_A,3V3_DAC_W,3V3_SYS_V,3V3_SYS_A,3V3_SYS_W,3V7_WL_SW_V,3V7_WL_SW_A,3V7_WL_SW_W,BATT_V,BATT_A,BATT_W,DDR_VDD2_V,DDR_VDD2_A,DDR_VDD2_W,DDR_VDDQ_V,DDR_VDDQ_A,DDR_VDDQ_W,EXT5V_V,EXT5V_A,EXT5V_W,HDMI_V,HDMI_A,HDMI_W,VDD_CORE_V,VDD_CORE_A,VDD_CORE_W
1778782639.240,2026-05-14T20:17:19.239,idle,,1.228,,3.2679,48.80,2400.0,0,0.7991,0.002259,0.0018,0.7993,0.315225,0.2519,1.1070,0.247886,0.2744,1.8208,0.260573,0.4744,3.3132,0.000000,0.0000,3.3141,0.000000,0.0000,3.3100,0.175667,0.5815,3.7285,0.000000,0.0000,0.0000,,,1.1066,0.088810,0.0983,0.5989,0.003431,0.0021,5.0933,,,5.1027,0.011233,0.0573,0.8719,1.750280,1.5261
1778782639.479,2026-05-14T20:17:19.478,idle,,1.467,,3.2957,49.40,2400.0,0,0.7997,0.002442,0.0020,0.8015,0.315225,0.2526,1.1048,0.245934,0.2717,1.8051,0.258622,0.4668,3.3132,0.000000,0.0000,3.3141,0.000000,0.0000,3.3258,0.167860,0.5583,3.7378,0.000000,0.0000,0.0000,,,1.1059,0.071243,0.0788,0.5989,0.005392,0.0032,5.0907,,,5.1014,0.011233,0.0573,0.8725,1.839580,1.6050
1778782639.718,2026-05-14T20:17:19.718,idle,,1.707,,3.2239,49.40,2400.0,0,0.8000,0.002259,0.0018,0.8029,0.312298,0.2508,1.1070,0.247886,0.2744,1.7958,0.265453,0.4767,3.3123,0.000000,0.0000,3.3141,0.000000,0.0000,3.3147,0.164932,0.5467,3.7378,0.000000,0.0000,0.0000,,,1.1070,0.100521,0.1113,0.6007,0.001471,0.0009,5.0799,,,5.1041,0.011477,0.0586,0.8719,1.723490,1.5028
1778782639.957,2026-05-14T20:17:19.957,idle,,1.945,,3.3005,48.30,2400.0,0,0.7997,0.002320,0.0019,0.8007,0.324985,0.2602,1.1037,0.249838,0.2757,1.8032,0.261549,0.4716,3.3141,0.000000,0.0000,3.3132,0.000000,0.0000,3.3277,0.165908,0.5521,3.7267,0.001952,0.0073,0.0000,,,1.1106,0.076123,0.0845,0.6007,0.003431,0.0021,5.1000,,,5.1014,0.011111,0.0567,0.8719,1.821720,1.5884
1778782640.196,2026-05-14T20:17:20.196,idle,,2.184,,2.2845,47.70,2400.0,0,0.7994,0.002503,0.0020,0.8022,0.302538,0.2427,1.1044,0.246910,0.2727,1.8066,0.254718,0.4602,3.3141,0.000000,0.0000,3.3141,0.000000,0.0000,3.3063,0.166884,0.5518,3.7397,0.000976,0.0036,0.0000,,,1.1055,0.023422,0.0259,0.6015,0.003922,0.0024,5.0933,,,5.1041,0.010501,0.0536,0.8719,0.767980,0.6696
1778782640.434,2026-05-14T20:17:20.433,idle,,2.422,,3.3246,48.30,2400.0,0,0.7997,0.002381,0.0019,0.8000,0.305466,0.2444,1.1048,0.248862,0.2749,1.8056,0.255694,0.4617,3.3132,0.000244,0.0008,3.3150,0.000000,0.0000,3.3045,0.179571,0.5934,3.7415,0.000000,0.0000,0.0000,,,1.1099,0.062460,0.0693,0.5993,0.001471,0.0009,5.0974,,,5.1014,0.011111,0.0567,0.8725,1.857440,1.6206
1778782640.678,2026-05-14T20:17:20.678,idle,,2.666,,2.3307,48.30,2400.0,0,0.7994,0.002259,0.0018,0.8015,0.301562,0.2417,1.1044,0.259597,0.2867,1.8032,0.255694,0.4611,3.3141,0.000000,0.0000,3.3159,0.000000,0.0000,3.3072,0.167860,0.5552,3.7415,0.002928,0.0110,0.0000,,,1.1088,0.040013,0.0444,0.5989,0.002941,0.0018,5.0933,,,5.1108,0.011233,0.0574,0.8722,0.767980,0.6698
1778782640.916,2026-05-14T20:17:20.916,idle,,2.904,,2.2910,47.70,2400.0,0,0.7991,0.002442,0.0020,0.8026,0.302538,0.2428,1.1044,0.247886,0.2738,1.8168,0.254718,0.4628,3.3141,0.000000,0.0000,3.3141,0.000000,0.0000,3.3072,0.163956,0.5422,3.7378,0.000000,0.0000,0.0000,,,1.1106,0.036109,0.0401,0.6033,0.002941,0.0018,5.1027,,,5.1094,0.010867,0.0555,0.8725,0.767980,0.6700
1778782641.154,2026-05-14T20:17:21.154,idle,,3.142,,2.4022,48.30,2400.0,0,0.7991,0.002381,0.0019,0.7996,0.302538,0.2419,1.1059,0.341575,0.3777,1.8002,0.269357,0.4849,3.3141,0.000000,0.0000,3.3150,0.000000,0.0000,3.3063,0.166884,0.5518,3.7267,0.000000,0.0000,0.0000,,,1.1077,0.019519,0.0216,0.6037,0.001471,0.0009,5.1014,,,5.1014,0.011722,0.0598,0.8717,0.759050,0.6616
1778782641.398,2026-05-14T20:17:21.397,idle,,3.386,,2.2087,48.30,1600.0,0,0.7994,0.002442,0.0020,0.8011,0.308394,0.2471,1.1037,0.248862,0.2747,1.8081,0.253742,0.4588,3.3123,0.000000,0.0000,3.3141,0.000000,0.0000,3.3295,0.167860,0.5589,3.7415,0.000000,0.0000,0.0000,,,1.1070,0.040989,0.0454,0.6007,0.001961,0.0012,5.1027,,,5.1081,0.011722,0.0599,0.8725,0.642960,0.5610
